,CountyName,StateName,dem_to_rep_ratio,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym
869,Delaware,OK,0.279976323,,5.0,5.0,2,5,5.0
870,Panola,TX,0.21728833600000003,5.0,3.0,1.0,4,1,3.0
871,Oconee,GA,0.41571694600000003,5.0,2.0,2.0,2,1,3.0
872,Boone,AR,0.23914998,,5.0,5.0,2,1,3.0
873,Limestone,AL,0.32573021,5.0,3.0,1.0,2,1,5.0
874,Lowndes,AL,2.788692176,5.0,3.0,1.0,2,1,5.0
875,Muskogee,OK,0.5302798639999999,,5.0,5.0,2,5,5.0
876,Henry,IN,0.368765743,4.0,4.0,1.0,3,1,2.0
877,Faulkner,AR,0.498500647,,5.0,5.0,2,1,3.0
878,Wagoner,OK,0.292240817,,5.0,5.0,2,5,5.0
879,Belmont,OH,0.416192913,4.0,1.0,1.0,2,1,3.0
880,Hancock,MS,0.24212584199999998,5.0,4.0,4.0,3,4,4.0
881,Putnam,GA,0.421454768,5.0,2.0,2.0,2,1,3.0
882,Mercer,OH,0.193305153,4.0,1.0,1.0,2,1,3.0
883,Dallas,AL,2.217308689,5.0,3.0,1.0,2,1,5.0
884,Escambia,AL,0.46351283299999996,5.0,3.0,1.0,2,1,5.0
885,Emporia City,VA,1.939163498,5.0,4.0,4.0,2,4,2.0
886,Graham,AZ,0.411339564,5.0,2.0,2.0,2,1,3.0
887,Tipton,IN,0.283950617,4.0,4.0,1.0,3,1,2.0
888,Harrison,IN,0.36954338299999995,4.0,4.0,1.0,3,1,2.0
889,Union,FL,0.221978984,5.0,2.0,2.0,2,1,3.0
890,Brooks,GA,0.6830586329999999,5.0,2.0,2.0,2,1,3.0
891,Franklin,IN,0.227131157,4.0,4.0,1.0,3,1,2.0
892,Christian,KY,0.509498157,5.0,5.0,5.0,2,1,2.0
893,Orange,IN,0.35292090299999995,4.0,4.0,1.0,3,1,2.0
894,Patrick,VA,0.273938643,5.0,4.0,4.0,2,4,2.0
895,Marshall,IN,0.39046224,4.0,4.0,1.0,3,1,2.0
896,Chattooga,GA,0.24961312300000002,5.0,2.0,2.0,2,1,3.0
897,Brown,TX,0.134892236,5.0,3.0,1.0,4,1,3.0
898,Colonial Heights Cit,VA,0.41665199799999997,5.0,4.0,4.0,2,4,2.0
899,Wichita,TX,0.31739712600000003,5.0,3.0,1.0,4,1,3.0
900,Surry,NC,0.316336445,5.0,4.0,1.0,2,1,4.0
901,Lee,GA,0.297764419,5.0,2.0,2.0,2,1,3.0
902,Delaware,OH,0.709977765,4.0,1.0,1.0,2,1,3.0
903,Lancaster,NE,1.005033448,,3.0,3.0,3,5,5.0
904,De Kalb,AL,0.16921280100000002,5.0,3.0,1.0,2,1,5.0
905,Queen Annes,MD,0.469193197,5.0,2.0,1.0,2,1,2.0
906,Oldham,KY,0.5016366210000001,5.0,5.0,5.0,2,1,2.0
907,Onslow,NC,0.471795701,5.0,4.0,1.0,2,1,4.0
908,Natchitoches,LA,0.796610169,4.0,2.0,2.0,2,1,2.0
909,West Feliciana,LA,0.663126844,4.0,2.0,2.0,2,1,2.0
910,Manassas City,VA,1.4149168490000001,5.0,4.0,4.0,2,4,2.0
911,Stark,ND,0.17970271699999998,,,,2,1,3.0
912,Wilcox,GA,0.40648855,5.0,2.0,2.0,2,1,3.0
913,Attala,MS,0.6620379820000001,5.0,4.0,4.0,3,4,4.0
914,Boone,KY,0.384473671,5.0,5.0,5.0,2,1,2.0
915,Covington,MS,0.60275989,5.0,4.0,4.0,3,4,4.0
916,Tioga,NY,0.5675716439999999,3.0,2.0,1.0,2,1,2.0
917,Jackson,IL,1.072950291,3.0,2.0,2.0,2,1,2.0
918,Marshall,MS,1.218005162,5.0,4.0,4.0,3,4,4.0
919,Haywood,TN,1.231662795,5.0,4.0,4.0,3,4,4.0
920,Mercer,PA,0.593868882,5.0,4.0,4.0,2,1,2.0
921,Butler,PA,0.443658037,5.0,4.0,4.0,2,1,2.0
